USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  40356 23164 ?        Ss   Jan25   0:13 /usr/lib/systemd/systemd --switched-root --system --deserialize=55 rhgb
root          35  0.0  0.0      0     0 ?        S    Jan25   0:00 [idle_inject/6]
root          36  0.0  0.0      0     0 ?        S    Jan25   0:00 [migration/6]
root          37  0.0  0.0      0     0 ?        S    Jan25   0:00 [ksoftirqd/6]
root          39  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/6:0H-events_highpri]
root          40  0.0  0.0      0     0 ?        S    Jan25   0:00 [cpuhp/8]
root          41  0.0  0.0      0     0 ?        S    Jan25   0:00 [idle_inject/8]
root          42  0.0  0.0      0     0 ?        S    Jan25   0:00 [migration/8]
root          43  0.0  0.0      0     0 ?        S    Jan25   0:00 [ksoftirqd/8]
root          45  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/8:0H-events_highpri]
root          46  0.0  0.0      0     0 ?        S    Jan25   0:00 [cpuhp/10]
root          47  0.0  0.0      0     0 ?        S    Jan25   0:00 [idle_inject/10]
root          48  0.0  0.0      0     0 ?        S    Jan25   0:00 [migration/10]
root          49  0.0  0.0      0     0 ?        S    Jan25   0:00 [ksoftirqd/10]
root          51  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/10:0H-events_highpri]
root          52  0.0  0.0      0     0 ?        S    Jan25   0:00 [cpuhp/12]
root          53  0.0  0.0      0     0 ?        S    Jan25   0:00 [idle_inject/12]
root          54  0.0  0.0      0     0 ?        S    Jan25   0:00 [migration/12]
root          55  0.0  0.0      0     0 ?        S    Jan25   0:00 [ksoftirqd/12]
root          57  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/12:0H-events_highpri]
root          58  0.0  0.0      0     0 ?        S    Jan25   0:00 [cpuhp/14]
root          59  0.0  0.0      0     0 ?        S    Jan25   0:00 [idle_inject/14]
root          60  0.0  0.0      0     0 ?        S    Jan25   0:00 [migration/14]
root          61  0.0  0.0      0     0 ?        S    Jan25   0:00 [ksoftirqd/14]
root          63  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/14:0H-events_highpri]
root          64  0.0  0.0      0     0 ?        S    Jan25   0:00 [cpuhp/1]
root          65  0.0  0.0      0     0 ?        S    Jan25   0:00 [idle_inject/1]
root          66  0.0  0.0      0     0 ?        S    Jan25   0:00 [migration/1]
root          67  0.0  0.0      0     0 ?        S    Jan25   0:00 [ksoftirqd/1]
root          69  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/1:0H-events_highpri]
root          70  0.0  0.0      0     0 ?        S    Jan25   0:00 [cpuhp/3]
root          71  0.0  0.0      0     0 ?        S    Jan25   0:00 [idle_inject/3]
root          72  0.0  0.0      0     0 ?        S    Jan25   0:00 [migration/3]
root          73  0.0  0.0      0     0 ?        S    Jan25   0:00 [ksoftirqd/3]
root          75  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/3:0H-events_highpri]
root          76  0.0  0.0      0     0 ?        S    Jan25   0:00 [cpuhp/5]
root          77  0.0  0.0      0     0 ?        S    Jan25   0:00 [idle_inject/5]
root          78  0.0  0.0      0     0 ?        S    Jan25   0:00 [migration/5]
root          79  0.0  0.0      0     0 ?        S    Jan25   0:00 [ksoftirqd/5]
root          81  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/5:0H-events_highpri]
root          82  0.0  0.0      0     0 ?        S    Jan25   0:00 [cpuhp/7]
root          83  0.0  0.0      0     0 ?        S    Jan25   0:00 [idle_inject/7]
root          84  0.0  0.0      0     0 ?        S    Jan25   0:00 [migration/7]
root          85  0.0  0.0      0     0 ?        S    Jan25   0:00 [ksoftirqd/7]
root          87  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/7:0H-events_highpri]
root          88  0.0  0.0      0     0 ?        S    Jan25   0:00 [cpuhp/9]
root          89  0.0  0.0      0     0 ?        S    Jan25   0:00 [idle_inject/9]
root          90  0.0  0.0      0     0 ?        S    Jan25   0:00 [migration/9]
root          91  0.0  0.0      0     0 ?        S    Jan25   0:00 [ksoftirqd/9]
root          93  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/9:0H-events_highpri]
root          94  0.0  0.0      0     0 ?        S    Jan25   0:00 [cpuhp/11]
root          95  0.0  0.0      0     0 ?        S    Jan25   0:00 [idle_inject/11]
root          96  0.0  0.0      0     0 ?        S    Jan25   0:00 [migration/11]
root          97  0.0  0.0      0     0 ?        S    Jan25   0:00 [ksoftirqd/11]
root          99  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/11:0H-events_highpri]
root         100  0.0  0.0      0     0 ?        S    Jan25   0:00 [cpuhp/13]
root         101  0.0  0.0      0     0 ?        S    Jan25   0:00 [idle_inject/13]
root         102  0.0  0.0      0     0 ?        S    Jan25   0:00 [migration/13]
root         103  0.0  0.0      0     0 ?        S    Jan25   0:00 [ksoftirqd/13]
root         105  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/13:0H-events_highpri]
root         106  0.0  0.0      0     0 ?        S    Jan25   0:00 [cpuhp/15]
root         107  0.0  0.0      0     0 ?        S    Jan25   0:00 [idle_inject/15]
root         108  0.0  0.0      0     0 ?        S    Jan25   0:00 [migration/15]
root         109  0.0  0.0      0     0 ?        S    Jan25   0:00 [ksoftirqd/15]
root         111  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/15:0H-events_highpri]
root         112  0.0  0.0      0     0 ?        S    Jan25   0:00 [kdevtmpfs]
root         113  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-inet_frag_wq]
root         114  0.0  0.0      0     0 ?        I    Jan25   0:00 [rcu_tasks_kthread]
root         115  0.0  0.0      0     0 ?        I    Jan25   0:00 [rcu_tasks_rude_kthread]
root         116  0.0  0.0      0     0 ?        I    Jan25   0:20 [rcu_tasks_trace_kthread]
root         117  0.0  0.0      0     0 ?        S    Jan25   0:00 [kauditd]
root         118  0.0  0.0      0     0 ?        S    Jan25   0:00 [oom_reaper]
root         120  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-writeback]
root         121  0.0  0.0      0     0 ?        S    Jan25   0:07 [kcompactd0]
root         122  0.0  0.0      0     0 ?        SN   Jan25   0:00 [ksmd]
root         123  0.0  0.0      0     0 ?        SN   Jan25   0:00 [khugepaged]
root         124  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-kblockd]
root         125  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-blkcg_punt_bio]
root         126  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-kintegrityd]
root         127  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/9-acpi]
root         129  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-tpm_dev_wq]
root         130  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-ata_sff]
root         131  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-md]
root         132  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-md_bitmap]
root         133  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-edac-poller]
root         134  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-devfreq_wq]
root         135  0.0  0.0      0     0 ?        S    Jan25   0:00 [watchdogd]
root         136  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-quota_events_unbound]
root         138  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/1:1H-kblockd]
root         140  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/24-AMD-Vi]
root         144  0.0  0.0      0     0 ?        S    Jan25   0:16 [kswapd0]
root         145  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-cryptd]
root         149  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-kthrotld]
root         152  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/38-aerdrv]
root         153  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/38-pciehp]
root         154  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/40-aerdrv]
root         155  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-acpi_thermal_pm]
root         157  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-dm_bufio_cache]
root         159  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-mld]
root         162  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-ipv6_addrconf]
root         164  0.0  0.0      0     0 ?        I<   Jan25   0:03 [kworker/10:1H-kblockd]
root         165  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-kstrp]
root         250  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/25-ACPI:Event]
root         251  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/6:1H-kblockd]
root         252  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/26-ACPI:Event]
root         253  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/27-ACPI:Event]
root         254  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/28-ACPI:Event]
root         255  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/29-ACPI:Event]
root         256  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/30-ACPI:Event]
root         258  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/31-ACPI:Event]
root         259  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/32-ACPI:Event]
root         260  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/33-ACPI:Event]
root         261  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/34-ACPI:Event]
root         262  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/35-ACPI:Event]
root         263  0.0  0.0      0     0 ?        I<   Jan25   0:11 [kworker/2:1H-kblockd]
root         265  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/4:1H-kblockd]
root         266  0.0  0.0      0     0 ?        I<   Jan25   0:01 [kworker/0:1H-kblockd]
root         268  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/3:1H-kblockd]
root         310  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/12:1H-kblockd]
root         312  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/8:1H-kblockd]
root         316  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/15:1H-kblockd]
root         329  0.0  0.0      0     0 ?        S    Jan25   0:00 [scsi_eh_0]
root         330  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-scsi_tmf_0]
root         398  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/5:1H-kblockd]
root         457  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/14:1H-kblockd]
root         461  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-vfio-irqfd-cleanup]
root         523  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/7:1H-kblockd]
root         524  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/9:1H-kblockd]
root         526  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/11:1H-kblockd]
root         527  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/13:1H-kblockd]
root         623  0.0  0.0      0     0 ?        S    Jan25   0:12 [irq/54-PNP0C50:00]
root         639  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/55-GXTP7385:00]
root         642  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-nvme-wq]
root         643  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-nvme-reset-wq]
root         644  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-nvme-delete-wq]
root         645  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-nvme-auth-wq]
root         650  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-amdgpu-reset-dev]
root         651  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-ttm]
root         652  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         653  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         654  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         655  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         656  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         657  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         658  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         659  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         660  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         661  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-dm_vblank_control_workqueue]
root         662  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-amdgpu_dm_hpd_wq]
root         663  0.0  0.0      0     0 ?        S    Jan25   0:00 [card1-crtc0]
root         664  0.0  0.0      0     0 ?        S    Jan25   0:00 [card1-crtc1]
root         665  0.0  0.0      0     0 ?        S    Jan25   0:00 [card1-crtc2]
root         666  0.0  0.0      0     0 ?        S    Jan25   0:00 [card1-crtc3]
root         667  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-gfx_0.0.0]
root         668  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-gfx_0.1.0]
root         669  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-comp_1.0.0]
root         670  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-comp_1.1.0]
root         671  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-comp_1.2.0]
root         672  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-comp_1.3.0]
root         673  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-comp_1.0.1]
root         674  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-comp_1.1.1]
root         675  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-comp_1.2.1]
root         676  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-comp_1.3.1]
root         677  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-sdma0]
root         678  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-vcn_dec_0]
root         679  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-vcn_enc_0.0]
root         680  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-vcn_enc_0.1]
root         681  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-jpeg_dec]
root         706  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-btrfs-worker]
root         707  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-btrfs-delalloc]
root         708  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-btrfs-flush_delalloc]
root         709  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-btrfs-cache]
root         710  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-btrfs-fixup]
root         711  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-btrfs-endio]
root         712  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-btrfs-endio-meta]
root         713  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-btrfs-rmw]
root         714  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-btrfs-endio-write]
root         715  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-btrfs-compressed-write]
root         716  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-btrfs-freespace-write]
root         717  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-btrfs-delayed-meta]
root         718  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-btrfs-qgroup-rescan]
root         719  0.0  0.0      0     0 ?        S    Jan25   0:00 [btrfs-cleaner]
root         720  0.0  0.0      0     0 ?        S    Jan25   0:44 [btrfs-transaction]
root         806  0.0  0.0      0     0 ?        S    Jan25   0:00 [psimon]
root         817  0.0  0.0 129140 14268 ?        Ss   Jan25   0:09 /usr/lib/systemd/systemd-journald
root         842  0.0  0.0  16576  7188 ?        Ss   Jan25   0:00 /usr/lib/systemd/systemd-userdbd
root         845  0.0  0.0  18248  8476 ?        Ss   Jan25   0:00 /usr/lib/systemd/systemd-nsresourced
root         866  0.0  0.0  42700 17588 ?        Ss   Jan25   0:04 /usr/lib/systemd/systemd-udevd
root         868  0.0  0.0      0     0 ?        S    Jan25   0:00 [psimon]
root         965  0.0  0.0      0     0 ?        S    Jan25   0:00 [jbd2/nvme0n1p2-8]
root         966  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-ext4-rsv-conversion]
root         986  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-cfg80211]
root        1000  0.0  0.0      0     0 ?        S    Jan25   0:09 [irq/93-iwlwifi:default_queue]
root        1001  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/95-iwlwifi:queue_1]
root        1002  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/96-iwlwifi:queue_2]
root        1003  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/97-iwlwifi:queue_3]
root        1004  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/98-iwlwifi:queue_4]
root        1005  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/101-iwlwifi:queue_5]
root        1006  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/102-iwlwifi:queue_6]
root        1007  0.0  0.0      0     0 ?        S    Jan25   0:02 [irq/103-iwlwifi:queue_7]
root        1008  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/104-iwlwifi:queue_8]
root        1009  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/105-iwlwifi:queue_9]
root        1010  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/106-iwlwifi:queue_10]
root        1011  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/107-iwlwifi:queue_11]
root        1012  0.0  0.0      0     0 ?        S    Jan25   0:01 [irq/108-iwlwifi:queue_12]
root        1013  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/109-iwlwifi:queue_13]
root        1014  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/110-iwlwifi:queue_14]
root        1015  0.0  0.0      0     0 ?        S    Jan25   0:00 [irq/111-iwlwifi:exception]
root        1042  0.0  0.0      0     0 ?        S    Jan25   0:00 [hwmon6]
systemd+    1132  0.0  0.0  17136  8284 ?        Ss   Jan25   0:57 /usr/lib/systemd/systemd-oomd
systemd+    1133  0.0  0.0  24960 17072 ?        Ss   Jan25   0:04 /usr/lib/systemd/systemd-resolved
root        1134  0.0  0.0  29192  3560 ?        S<sl Jan25   0:00 /usr/bin/auditd
root        1136  0.0  0.0   6600  3824 ?        S<   Jan25   0:00 /usr/sbin/sedispatch
dbus        1165  0.0  0.0  10144  5648 ?        Ss   Jan25   0:00 /usr/bin/dbus-broker-launch --scope system --audit
dbus        1170  0.0  0.0  11748  9888 ?        S    Jan25   0:41 dbus-broker --log 10 --controller 9 --machine-id 697a283a2cae47bc958d68556fdb8b47 --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
root        1171  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-rpciod]
root        1172  0.0  0.0      0     0 ?        I<   Jan25   0:00 [kworker/R-xprtiod]
root        1178  0.1  0.2 902824 68812 ?        S<sl Jan25  24:39 /usr/bin/python3 /usr/bin/hhd
avahi       1180  0.0  0.0   6788  4932 ?        Ss   Jan25   0:03 avahi-daemon: running [gpd-win-max-2.local]
chrony      1186  0.0  0.0  86304  6732 ?        Ss   Jan25   0:00 /usr/sbin/chronyd -n -F 2
root        1198  0.0  0.0 251812 20304 ?        Ss   Jan25   0:00 /usr/bin/python3 /usr/bin/ds-inhibit
root        1203  0.0  0.0 534216  8416 ?        Ssl  Jan25   0:00 /usr/libexec/iio-sensor-proxy
root        1204  0.0  0.1 457672 56608 ?        Ssl  Jan25   0:01 /usr/bin/python3 /usr/bin/input-remapper-service
root        1206  0.0  0.0 303020  5988 ?        SLsl Jan25   0:00 /usr/libexec/low-memory-monitor
polkitd     1215  0.0  0.0 385296 13936 ?        Ssl  Jan25   0:07 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
rtkit       1216  0.0  0.0   5376  3516 ?        SNs  Jan25   0:00 /usr/libexec/rtkit-daemon --no-canary
root        1217  0.0  0.0   9680  6152 ?        Ss   Jan25   0:00 /usr/bin/smartd -n -q never --capabilities=mail
root        1220  0.0  0.0 531512  7300 ?        Ssl  Jan25   0:00 /usr/libexec/switcheroo-control
root        1221  0.0  0.0  17224  8828 ?        Ss   Jan25   0:01 /usr/lib/systemd/systemd-homed
root        1222  0.0  0.0  17340  8320 ?        Ss   Jan25   0:01 /usr/lib/systemd/systemd-machined
root        1238  0.0  0.0 616780 15892 ?        Ssl  Jan25   0:01 /usr/libexec/udisks2/udisksd
root        1239  0.0  0.0      0     0 ?        S    Jan25   0:00 [psimon]
root        1240  0.0  0.0 543540 12808 ?        Ssl  Jan25   0:41 /usr/libexec/upowerd
root        1254  0.0  0.0      0     0 ?        S    Jan25   0:00 [psimon]
root        1286  0.0  0.0 534156  8472 ?        Ssl  Jan25   0:00 /usr/libexec/accounts-daemon
root        1298  0.0  0.0  20036 11944 ?        Ss   Jan25   0:05 /usr/lib/systemd/systemd-logind
avahi       1313  0.0  0.0   6488  1640 ?        S    Jan25   0:00 avahi-daemon: chroot helper
root        1335  0.0  0.0   9512  6320 ?        Ss   Jan25   0:00 /usr/libexec/bluetooth/bluetoothd
root        1369  0.0  0.0 391356 13748 ?        Ssl  Jan25   0:01 /usr/bin/ModemManager
root        1371  0.0  0.0 534084  8484 ?        Ssl  Jan25   0:02 /usr/libexec/boltd
root        1374  0.0  0.1 372404 52604 ?        Ssl  Jan25   0:01 /usr/bin/python3 -sP /usr/bin/firewalld --nofork --nopid
root        1424  0.0  0.1 302012 38668 ?        S    Jan25   0:00 /usr/bin/python3 /usr/bin/input-remapper-service
root        1562  0.0  0.0 557204 22328 ?        Ssl  Jan25   0:42 /usr/bin/NetworkManager --no-daemon
root        1636  0.0  0.0  16680 11960 ?        Ss   Jan25   0:07 /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -u -s
root        1654  0.0  0.0 252616 12296 ?        Ss   Jan25   0:00 /usr/bin/cupsd -l
root        1655  0.0  0.0 282364  8192 ?        Ssl  Jan25   0:00 /usr/bin/gssproxy -i
root        1657  0.0  0.0   2800  2128 ?        Ss   Jan25   0:00 /home/isaac/homebrew/services/PluginLoader
colord      1664  0.0  0.0 546028 20160 ?        Ssl  Jan25   0:00 /usr/libexec/colord
root        1677  0.0  0.0 609400 10736 ?        Ssl  Jan25   0:01 /usr/bin/gdm
root        1768  0.0  0.0 306152  7484 ?        Ssl  Jan25   0:00 /usr/libexec/uresourced
root        1772  0.0  0.1 796824 48392 ?        Sl   Jan25   0:19 Decky Loader v3.2.1 (/home/isaac/homebrew/services/PluginLoader)
isaac       1864  0.0  0.1 572744 36780 ?        S    Jan25   0:00 Bazzite Buddy (/home/isaac/homebrew/plugins/Bazzite Buddy/main.py)
isaac       1916  0.0  0.1 573388 36996 ?        S    Jan25   0:20 EmuDecky (/home/isaac/homebrew/plugins/EmuDecky/main.py)
root        1996  0.0  0.0      0     0 ?        S<   Jan25   0:00 [krfcommd]
root        2013  0.0  0.1 292912 48180 ?        S<   Jan25   0:50 /usr/bin/python3 -m adjustor.drivers.gpu.ppd
root        2023  0.0  0.2 4469444 77972 ?       S<l  Jan25   0:06 /usr/bin/scx_lavd
root        2186  0.0  0.0 625688  9108 ?        Ssl  Jan25   0:00 /usr/bin/pcscd --foreground --auto-exit
root        3587  0.0  0.0      0     0 ?        S    Jan25   0:00 [sched_ext_helper]
root        3644  0.0  0.0 619020 14844 ?        Sl   Jan25   0:00 gdm-session-worker [pam/gdm-password]
isaac       4075  0.0  0.0  25532 16508 ?        Ss   Jan25   0:06 /usr/lib/systemd/systemd --user
isaac       4079  0.0  0.0  16788  3232 ?        S    Jan25   0:00 (sd-pam)
isaac       4113  0.0  0.0   7812  4604 ?        Ss   Jan25   0:00 /usr/bin/mpris-proxy
isaac       4117  0.0  0.0   9096  4548 ?        Ss   Jan25   0:00 /usr/bin/dbus-broker-launch --scope user
isaac       4124  0.0  0.0 407116  8248 ?        Sl   Jan25   0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
